Book Title, Book Rating
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.07 avg rating — 382,151 ratings
How to Win Friends and Influence People,4.16 avg rating — 392,392 ratings
The Alchemist,3.84 avg rating — 1,634,096 ratings
Oh, The Places You'll Go!,4.35 avg rating — 280,713 ratings
The Reframe: Reframe Relationships,3.97 avg rating — 156 ratings
Think and Grow Rich,4.17 avg rating — 139,293 ratings
The Power of Now: A Guide to Spiritual Enlightenment,4.12 avg rating — 139,683 ratings
Getting Things Done: The Art of Stress-Free Productivity,3.98 avg rating — 98,066 ratings
The Four Agreements: A Practical Guide to Personal Freedom,4.14 avg rating — 134,121 ratings
The Art of Happiness,4.16 avg rating — 74,970 ratings
Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson,4.08 avg rating — 655,535 ratings
The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth,4.04 avg rating — 73,339 ratings
The Secret (The Secret, #1),3.65 avg rating — 281,349 ratings
As a Man Thinketh,4.29 avg rating — 44,594 ratings
Who Moved My Cheese?,3.77 avg rating — 292,982 ratings
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.23 avg rating — 218,239 ratings
Man's Search for Meaning,4.35 avg rating — 249,220 ratings
Eat, Pray, Love,3.53 avg rating — 1,301,928 ratings
The Diary of a Young Girl,4.12 avg rating — 2,276,170 ratings
Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life,4.12 avg rating — 29,440 ratings
Emotional Intelligence 2.0,3.83 avg rating — 61,396 ratings
Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,3.96 avg rating — 72,080 ratings
Chicken Soup for the Soul,3.95 avg rating — 32,694 ratings
The Last Lecture,4.26 avg rating — 268,129 ratings
The Purpose Driven Life: What on Earth Am I Here for?,3.91 avg rating — 197,504 ratings
Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao,4.26 avg rating — 14,938 ratings
The Power of Intention: Learning to Co-create Your World Your Way,4.19 avg rating — 25,188 ratings
Change Your Brain, Change Your Life: The Breakthrough Program for Conquering Anxiety, Depression, Obsessiveness, Anger, and Impulsiveness,3.97 avg rating — 7,853 ratings
First Things First,4.08 avg rating — 30,725 ratings
Psycho-Cybernetics, A New Way to Get More Living Out of Life,4.22 avg rating — 12,823 ratings
The Story of My Life,4.07 avg rating — 117,026 ratings
The Tipping Point: How Little Things Can Make a Big Difference,3.94 avg rating — 570,823 ratings
A New Earth: Awakening to Your Life's Purpose,4.05 avg rating — 127,228 ratings
